problem,genotype,phenotype,error,runtime(s),runtime(g),runtime(fes),pinit
F1,"[[[0, 0.00263526142054904, 0]], [[2, 0.42583235682120457, 1]], [[0, 0.29645703853296873, 2]], [[0, 0.13521948636133485, 1]], [[0, 0.7857669482043029, 1]], [[1, 0.9057621892757053, 2]], [[1, 0.5213149273490785, 2]], [[3, 0.3024820556501713, 3], [11, 0.9320185533222393, 3], [0, 0.0, 3]], [[1, 0.5053931206380421, 2]], [[0, 0.14991462136059297, 3], [0, 0.11027720331563923, 3], [2, 0.3841471105224926, 3]], [[1, 0.9836223277533729, 2]], [[3, 0.7421649786942992, 4]], [[0, 0.26472033089804037, 3], [0, 0.04457260801979657, 3]], [[0, 0.3619958976426497, 3]], [[1, 0.6083412011291501, 4], [0, 0.0, 4], [1, 0.615893734186466, 4], [1, 0.9492186526274122, 4]], [[1, 0.8908291961379498, 5], [0, 0.24735796626017792, 5], [1, 0.9389135544350515, 5], [1, 0.9112752627233381, 5]], [[2, 0.3860695226438028, 5], [3, 0.5531974910215123, 5], [4, 0.8314053448324417, 5], [0, 0.1495095558627575, 5]], [[10, 1.0, 5], [0, 0.07961908107754112, 5], [4, 0.4330812022257351, 5], [10, 0.9225643224917441, 5]], [[0, 0.20422082547468667, 4], [0, 0.3845551257690558, 4]], [[0, 0.29845129972270923, 5], [0, 0.11581469561764757, 5], [1, 0.8824363179742455, 5]], [[0, 0.2887476779342638, 5], [0, 0.07232327364728319, 6], [0, 0.8395521363700684, 3], [0, 0.14032727457508776, 6], [0, 0.35762941645648294, 3], [0, 0.09099418012228089, 4], [0, 0.4731452353837974, 5], [0, 0.870675225553928, 6], [0, 0.5025585105682843, 3]], [[0, 0.0757292983168778, 4], [1, 0.6760897506986062, 2], [0, 0.3239173120681562, 4], [0, 0.22410115661120666, 2]], [[1, 0.7955609251816721, 1]], [[2, 0.40540428271032236, 1]], [[7, 0.818095457359683, 3], [5, 0.5831593446733526, 6], [1, 0.17339150625934951, 7], [4, 0.46449179934541374, 3], [4, 0.538059633295124, 4], [1, 0.18945384083432948, 3], [0, 0.04493977971831864, 7], [4, 0.43653187723097564, 3], [5, 0.5499764847427644, 4], [7, 0.8431589665934038, 3], [6, 0.7564814667428942, 3], [6, 0.7200941939143527, 4], [5, 0.5998986391634437, 3], [3, 0.38093254995930503, 4], [2, 0.2702072156049232, 3]], [[0, 0.014370065106754981, 4], [9, 0.9391502515316745, 4], [8, 0.799312999265457, 4], [9, 0.9743418257237952, 4], [9, 1.0, 3], [6, 0.6076850697829805, 3], [8, 0.7830880790693298, 3], [0, 0.08744917489161319, 2], [0, 0.10777910688528036, 2], [0, 0.027137330881584765, 2]]]","popsize=150\nparams=Params(lshade.memory(8))\noptimizer=create_optimizer(Ignore,update_strategy(Ignore,ensemble.either(mutation.rand_to_best_2(params.adaptative(param_strategy(0.6,jade.normal_get_strategy(0.2),ilshade.normal_repair_strategy(),nshade.normal_learning_strategy())), include_archive=True),mutation.cma(),params.adaptative(random.boolean(low=0.0,high=0.9,weighted=False,learning_rate=Ignore))),ensemble.either(crossover.all(),crossover.all(),params.adaptative(random.boolean(low=0.8,high=0.9,weighted=False,learning_rate=Ignore))),reparation.clip(),booster.imode(0.965, 0.5, 0.82)),archive(round(popsize*0.0), allow_resizing=False),popsize,params)",6.355287432313019e-15,261666.21835756302,15,1350,30
F2,"[[[0, 0.03505151954882568, 0]], [[3, 0.7444868224361312, 1]], [[1, 0.9645391211711832, 2]], [[1, 0.42807980262070255, 1]], [[0, 0.12167575775386386, 1]], [[1, 0.9302030972247248, 2]], [[0, 0.09476200966497561, 2]], [[11, 0.953598437746076, 3]], [[1, 0.4229384170260957, 2]], [[0, 0.1332224474823791, 3], [0, 0.0745943062828347, 3]], [[0, 0.0824508725225499, 2]], [], [[1, 0.9818471119891056, 3]], [], [], [], [], [], [[1, 0.7484074979718525, 4]], [], [[0, 0.9324699641008015, 2], [0, 0.9989986407369625, 5], [0, 0.26336266862557245, 3]], [], [[0, 0.26358535452473464, 1]], [[6, 0.8874948073783929, 1]], [[5, 0.662067339485164, 3], [5, 0.5763524546583146, 6], [6, 0.6982361508954893, 3], [6, 0.7578316468325254, 4], [4, 0.5000183678512697, 3]], [[5, 0.5986652371232773, 4], [6, 0.6876925809266686, 4], [8, 0.8799719474560175, 3], [7, 0.7888944627228682, 3], [6, 0.6932312796146335, 3]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.6)),update_strategy(Ignore,mutation.cma(),ensemble.either(crossover.all(),crossover.all(),params.adaptative(random.boolean(low=0.5,high=0.6,weighted=True,learning_rate=0.6))),reparation.middle_from_parent(),booster.imode(0.877, 0.7, 0.65)),Ignore,popsize,params)",0.0,179588.9417204857,0,300,30
F3,"[[[0, 0.4788186062130816, 0]], [[2, 0.5346924671438839, 1]], [[1, 0.642592816294115, 2]], [[0, 0.2736925420679305, 1]], [[0, 0.8819944386032852, 1]], [[1, 0.7983542833099221, 2]], [[1, 0.3652724830269448, 2]], [[6, 0.49676028708532927, 3], [3, 0.31756580996781636, 3]], [[1, 0.5332944160865789, 2]], [[3, 0.5199735981287867, 3], [2, 0.350265855634069, 3]], [[0, 0.3929447991276478, 2]], [[3, 0.7947512865111566, 4], [1, 0.47802938926776517, 4], [2, 0.6354903403265635, 4]], [[1, 0.5210631003395888, 3], [1, 0.5506719376942625, 3]], [[0, 0.3619958976426497, 3]], [[0, 0.28726985622194945, 4], [0, 0.0012103323547897338, 4], [0, 0.1439460666992045, 4], [0, 0.4981394298018823, 4]], [[0, 0.41985436102938356, 5], [1, 0.6763641382855977, 5], [1, 0.8992604435090638, 5]], [], [[2, 0.25410676093617135, 5], [7, 0.6470370915084442, 5], [10, 0.9625946406292496, 5]], [[1, 0.7506314954726278, 4], [1, 1.0, 4]], [[0, 0.3795587120820654, 5], [0, 0.3127469151944935, 5], [1, 1.0, 5], [0, 0.2743139772461396, 5], [0, 0.46868921805135844, 5], [1, 0.9623906661512681, 5]], [[0, 0.028551007788204186, 5], [0, 0.4276373864817321, 4], [0, 0.537365907741486, 5], [0, 0.6186744498273811, 3], [0, 0.6428644023025339, 3], [0, 0.30462480668627967, 4], [0, 0.13689863373428313, 3], [0, 0.6949522067682163, 3], [0, 0.6400465982726201, 4], [0, 0.8089381256593055, 4], [0, 0.3401310909105928, 3]], [[1, 0.813550184579741, 4], [1, 0.9688753174256637, 4]], [[0, 0.19228454456535482, 1]], [[5, 0.8393932838948198, 1]], [[0, 0.022958993939056427, 6], [6, 0.6937795955409679, 5], [0, 0.0, 6], [1, 0.24098022874385627, 3], [7, 0.8305241960155028, 4], [1, 0.21697657640176304, 3], [2, 0.26817075082804875, 5], [4, 0.46302622199907495, 6]], [[2, 0.29539325993474264, 2], [0, 0.0, 6], [2, 0.3148895248126633, 6], [6, 0.6236882092724717, 4], [0, 0.0, 4], [7, 0.749173986172504, 6], [6, 0.6173010593399219, 4], [9, 0.9657742221035942, 4], [0, 0.0, 4], [2, 0.3189682050703624, 3], [5, 0.5362979585159872, 3], [4, 0.4683190828910281, 3]]]","popsize=12*ndims\nparams=Params(lshade.memory(popsize))\noptimizer=create_optimizer(Ignore,update_strategy(Ignore,ensemble.either(mutation.current_to_rand_1(params.static(0.0), include_archive=False),mutation.rand_to_best_2(params.static(0.2), include_archive=False),params.adaptative(random.boolean(low=0.6,high=0.0,weighted=True,learning_rate=0.1))),ensemble.either(crossover.exponential(params.static(1)),crossover.binomial_with_cauchy_perturbation(params.static(0.7), scale=0.7, jump_rate=0.6),params.adaptative(random.boolean(low=0.9,high=0.0,weighted=True,learning_rate=0.1))),reparation.middle_from_parent(),booster.imode(0.252, 0.8, 0.42)),Ignore,popsize,params)",1.2473082359368897e-07,289503.8732252121,15,1350,30
F4,"[[[0, 0.03505151954882568, 0]], [[3, 0.7157566329541123, 1]], [[1, 0.9645391211711832, 2]], [[1, 0.3990286024015757, 1]], [[0, 0.28109451373798755, 1]], [[0, 0.0, 2]], [[0, 0.09476200966497561, 2]], [[11, 0.953598437746076, 3]], [[0, 0.2508189613599783, 2]], [[4, 0.7215699166401666, 3], [4, 0.7673410935039218, 3], [1, 0.2089025862056314, 3]], [[0, 0.44757492183177716, 2]], [[3, 0.7574257014961551, 4]], [[0, 0.24766693127533224, 3]], [[0, 0.05604011904541184, 3]], [[1, 1.0, 4]], [[0, 0.18463983843804843, 5], [1, 0.6953513689646298, 5], [1, 0.9600204025849579, 5]], [[3, 0.6153547076826203, 5]], [[4, 0.39449118451040366, 5], [5, 0.49743775424531766, 5], [2, 0.2650406480181693, 5]], [[1, 0.6526746164583295, 4]], [[1, 0.8622542789614445, 5], [0, 0.07159483880312967, 5], [0, 0.35417120760488485, 5]], [[0, 0.982464056233616, 2], [0, 0.2756411701450704, 5], [0, 0.838953678907232, 6], [0, 0.10944578598245669, 5], [0, 0.09904861908776774, 5], [0, 0.2887120715595466, 6], [0, 0.5513680626986535, 5], [0, 0.4324075308186027, 6], [0, 0.8413887574691907, 4], [0, 0.6581903734016783, 4]], [], [[0, 0.26358535452473464, 1]], [[6, 0.8709563333984611, 1]], [[6, 0.662067339485164, 3], [5, 0.5763524546583146, 6], [6, 0.6982361508954893, 7], [5, 0.5777772366361813, 7], [4, 0.5000183678512697, 4], [2, 0.2859096694125999, 3]], [[6, 0.6514651770836339, 6], [2, 0.2897015153391611, 3], [9, 0.9330197240351357, 3], [9, 0.9261322863942911, 3], [9, 0.9192259635549691, 3], [9, 0.9747689919570499, 3], [2, 0.24395694228694675, 3], [2, 0.2144540184310192, 2], [6, 0.659236805107094, 2]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.7)),update_strategy(Ignore,mutation.cma(),crossover.multiple_exponential(params.adaptative(param_strategy(0.6,jade.cauchy_get_strategy(0.7),jso.cauchy_repair_strategy(),lshade.cauchy_learning_strategy()))),reparation.middle_from_parent(),Ignore),Ignore,popsize,params)",2.767745363784494e-06,264679.23980522156,15,1350,30
F5,"[[[0, 0.03505151954882568, 0]], [[3, 0.67866881479555, 1]], [[1, 0.9645391211711832, 2]], [[1, 0.42807980262070255, 1]], [[0, 0.12167575775386386, 1]], [[1, 0.9302030972247248, 2]], [[1, 0.5989988867576299, 2]], [[11, 0.953598437746076, 3], [10, 0.8163219657889069, 3]], [[0, 0.0, 2]], [[0, 0.1332224474823791, 3], [0, 0.04660087365913644, 3]], [[0, 0.0824508725225499, 2]], [[2, 0.6203673720945193, 4]], [[1, 0.9818471119891056, 3], [1, 0.9915391714863921, 3]], [], [[1, 0.7112011808243099, 4]], [[1, 0.678418058194192, 5]], [[5, 0.9044206994720791, 5]], [[9, 0.8469303327828028, 5]], [[1, 0.5918226371895967, 4], [1, 0.5221646610202291, 4]], [[0, 0.1069948973164192, 5], [1, 0.6260587497152661, 5], [1, 0.620552709806753, 5], [1, 0.7983151119323675, 5]], [[0, 0.9324699641008015, 2], [0, 0.9989986407369625, 5], [0, 0.26336266862557245, 6], [0, 0.7137223908309298, 5], [0, 0.029097641361407023, 3], [0, 0.41184243929726416, 3]], [[0, 0.4539984656753141, 4]], [[0, 0.26358535452473464, 1]], [[6, 0.8874948073783929, 1]], [[6, 0.662067339485164, 3], [5, 0.5763524546583146, 6], [6, 0.6982361508954893, 7], [6, 0.7578316468325254, 6], [4, 0.5000183678512697, 3], [7, 0.852539147653107, 4], [1, 0.14557030575557672, 3], [3, 0.35149754231470187, 3]], [[8, 0.8625638849774476, 6], [8, 0.7762211258206222, 4], [8, 0.8799719474560175, 4], [8, 0.7888944627228682, 3], [7, 0.6932312796146335, 3], [3, 0.3142376851167862, 3], [8, 0.8540019881671307, 3], [4, 0.44412304485523, 3], [6, 0.6290211122289778, 3]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.7)),update_strategy(Ignore,ensemble.either(mutation.cma(),mutation.current_to_ord_pbest_1(params.adaptative(param_strategy(0.6,jade.normal_get_strategy(0.7),lshadespa.cauchy_repair_strategy(),nshade.cauchy_learning_strategy())),p=params.adaptative(linear.eval(low=0.8,high=1)), include_archive=True),params.adaptative(random.boolean(low=0.8,high=0.8,weighted=True,learning_rate=0.7))),crossover.all(),reparation.middle_from_parent(),booster.imode(0.875, 0.8, 0.32)),Ignore,popsize,params)",5.084229945850415e-14,419624.8040482998,15,1350,30
F6,"[[[0, 0.03505151954882568, 0]], [[3, 0.6672113953932586, 1]], [[1, 0.9645391211711832, 2]], [[1, 0.5952393574434038, 1]], [[0, 0.12167575775386386, 1]], [[1, 0.9302030972247248, 2]], [[0, 0.060358340637868456, 2]], [[11, 0.953598437746076, 3]], [[1, 0.4229384170260957, 2]], [[2, 0.5199735981287867, 3], [1, 0.350265855634069, 3]], [[0, 0.0824508725225499, 2]], [], [[1, 0.9818471119891056, 3]], [], [[1, 0.6354583470912718, 4], [0, 0.3914330465519884, 4]], [[1, 0.7610148959153925, 5], [1, 0.7351500202960324, 5]], [[2, 0.4729629882470371, 5], [2, 0.4036555686870148, 5]], [[5, 0.5288179061587375, 5], [7, 0.7135105429600623, 5]], [[1, 0.5498650221233448, 4]], [[0, 0.10515075725717016, 5]], [[0, 0.4993368752809413, 2], [0, 0.05109883365365597, 5], [0, 0.6295494698993229, 6], [0, 0.6402991083202707, 4], [0, 0.909272320799669, 5], [0, 0.2179371663673555, 3], [0, 0.3556665932143511, 5], [0, 0.7636713361167395, 3]], [[0, 0.08239441128012359, 4], [1, 0.8217617354966564, 4]], [[0, 0.26358535452473464, 1]], [[6, 0.8874948073783929, 1]], [[6, 0.662067339485164, 3], [5, 0.5763524546583146, 6], [6, 0.7260080916275609, 7], [6, 0.7578316468325254, 5], [4, 0.5000183678512697, 6], [0, 0.10244864509586737, 3], [7, 0.8162964075285167, 4], [3, 0.327093560981231, 3], [6, 0.7249565484707631, 4], [3, 0.3475713567667452, 3]], [[1, 0.15377354456568518, 4], [3, 0.291121342572517, 6], [6, 0.6767566779306309, 4], [6, 0.6490725899670556, 4], [8, 0.8794272706742979, 3], [9, 1.0, 3], [0, 0.006177126029393576, 3]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.7)),update_strategy(Ignore,mutation.cma(),ensemble.either(crossover.binomial_with_cauchy_perturbation(params.adaptative(param_strategy(0.6,jade.normal_get_strategy(0.7),ilshade.normal_repair_strategy(),lshade.normal_learning_strategy())), scale=0.7, jump_rate=0.1),crossover.binomial(params.static(0.3)),params.adaptative(random.boolean(low=0.6,high=0.6,weighted=True,learning_rate=0.5))),reparation.middle_from_parent(),booster.imode(0.891, 0.8, 0.04)),Ignore,popsize,params)",42.2248300481266,353166.1823477745,15,1350,30
F7,"[[[0, 0.8252203474941416, 0]], [[1, 0.3404365785825667, 1]], [[1, 0.8759017932917553, 2]], [[2, 0.7168184552052067, 1]], [[0, 0.10384585373782818, 1]], [[0, 0.1456518403576741, 2]], [[1, 0.5989988867576299, 2]], [[11, 0.953598437746076, 3], [3, 0.33033085405527085, 3]], [[1, 0.4229384170260957, 2]], [[2, 0.48220379597475704, 3], [2, 0.43030420444140216, 3]], [[1, 0.9814736362977634, 2]], [], [[0, 0.01177386797270441, 3], [1, 0.5731149583337337, 3]], [[0, 0.11928643499689784, 3]], [[0, 0.0, 4], [1, 0.5509997388676952, 4], [1, 0.6906409571004444, 4], [1, 1.0, 4]], [[1, 0.8428369427580985, 5], [0, 0.37162727927807804, 5], [0, 0.37906913162736866, 5]], [[2, 0.4729629882470371, 5], [2, 0.4036555686870148, 5], [2, 0.3589407856377913, 5]], [[10, 1.0, 5], [0, 0.07961908107754112, 5], [4, 0.4330812022257351, 5], [1, 0.09828028056227489, 5]], [[1, 0.6526746164583295, 4], [0, 0.37177317557902645, 4]], [[1, 0.7756526464134575, 5]], [[0, 0.9356227983667657, 5], [0, 0.22599732773517678, 5], [0, 0.3136991834335272, 6], [0, 0.6190760311975542, 4], [0, 0.2985487986343881, 5], [0, 0.3702182752864198, 6], [0, 0.8852311085289176, 4], [0, 0.4958780951864782, 6], [0, 0.5871094971254969, 4], [0, 0.9508408868751556, 4], [0, 0.670951742035708, 5]], [[0, 0.34043183060791526, 4], [1, 0.6845327442189235, 2]], [[1, 0.991618157692058, 1]], [[6, 0.8874948073783929, 1]], [[8, 1.0, 6], [4, 0.5283714833309787, 6], [1, 0.17339150625934951, 7], [4, 0.46449179934541374, 5], [4, 0.538059633295124, 6], [1, 0.18945384083432948, 7], [0, 0.04493977971831864, 5], [3, 0.43653187723097564, 7], [4, 0.5499764847427644, 5], [6, 0.7236219291502095, 5], [6, 0.6660154214382512, 5], [3, 0.40266757457910707, 6]], [[0, 0.046609365647501955, 4], [3, 0.3434154650685508, 4], [3, 0.368762996475964, 4], [1, 0.17380930457009547, 6], [0, 0.0491714052325537, 4], [2, 0.24796902663143744, 4], [4, 0.46280841373257375, 4], [7, 0.7154558999475429, 2], [9, 0.9865639070282523, 2]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(shade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=4),update_strategy(Ignore,ensemble.either(mutation.cma(),mutation.rand_to_best_2(params.static(1), include_archive=True),params.adaptative(random.boolean(low=0.0,high=0.3,weighted=False,learning_rate=0.9))),ensemble.either(crossover.binomial_with_cauchy_perturbation(params.adaptative(param_strategy(0.5,jade.normal_get_strategy(0.2),ilshade.normal_repair_strategy(),nshade.normal_learning_strategy())), scale=0.5, jump_rate=0.3),crossover.binomial_with_cauchy_perturbation(params.adaptative(param_strategy(0.5,jade.cauchy_get_strategy(0.2),ilshade.normal_repair_strategy(),jade.cauchy_learning_strategy(0.1))), scale=0.1, jump_rate=0.0),params.adaptative(random.boolean(low=0.2,high=0.4,weighted=True,learning_rate=Ignore))),reparation.clip(),Ignore),archive(round(popsize*7.9), allow_resizing=False),popsize,params)",18.2537824788971,262236.1889204979,15,1350,30
F8,"[[[0, 0.004534533850032663, 0]], [[3, 0.6489886017834483, 1]], [[1, 0.872111238748548, 2]], [[1, 0.5193456030892398, 1]], [[0, 0.16337596044721603, 1]], [[1, 0.5433000017682398, 2]], [[0, 0.16977883040079556, 2]], [[11, 0.9786972452239849, 3]], [[1, 0.6135090894556889, 2]], [[0, 0.10104103332285852, 3], [3, 0.6089431925424506, 3]], [[0, 0.09311639722377896, 2]], [], [[0, 0.11931338695612359, 3]], [], [[0, 0.17007882988425937, 4]], [], [], [], [[0, 0.4871943880480618, 4]], [[0, 0.4309107055513798, 5]], [[0, 0.06085371879805801, 2], [0, 0.4834732391785185, 3]], [], [[0, 0.417826899149772, 1]], [[6, 0.8970525941456851, 1]], [[3, 0.4306269491488318, 3], [5, 0.5843537179444921, 3], [3, 0.3483088881354768, 4], [1, 0.13027461651835726, 3]], [[8, 0.8063747448247004, 6], [0, 0.04573962734274373, 4], [6, 0.6643659251856313, 4], [1, 0.13917524969802764, 3], [3, 0.3157174979399915, 3], [0, 0.06974440444143715, 3]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.4)),update_strategy(Ignore,mutation.cma(),ensemble.either(crossover.all(),crossover.exponential(params.static(0.8)),params.adaptative(random.boolean(low=0.0,high=0.6,weighted=False,learning_rate=Ignore))),reparation.middle_from_parent(),booster.imode(0.136, 0.4, 0.02)),Ignore,popsize,params)",0.0,45981.499992609024,0,300,30
F9,"[[[0, 0.3958425982582827, 0]], [[3, 0.7808138272512847, 1]], [[1, 1.0, 2]], [[2, 0.7489090988184758, 1]], [[0, 0.6899710109769462, 1]], [[1, 0.8541469156143281, 2]], [[2, 0.941528420486469, 2]], [[8, 0.7153195859004307, 3], [4, 0.3270825618141715, 3], [4, 0.3951785162443401, 3]], [[0, 0.104172690726834, 2]], [[3, 0.5261380193655882, 3], [0, 0.09218257388289175, 3], [2, 0.40136218264915136, 3]], [[0, 0.3007646702338116, 2]], [[0, 0.07190167297060501, 4], [2, 0.5548180854295591, 4]], [[0, 0.21807629203793732, 3]], [[0, 0.4932512246703681, 3]], [[0, 0.0, 4], [1, 0.8460145093202242, 4], [0, 0.2275977030739994, 4], [0, 0.22063268650304846, 4], [0, 0.13178797052788194, 4], [0, 0.09276453961368458, 4]], [[0, 0.033462154357777996, 5]], [[4, 0.705158004310517, 5]], [[10, 0.9480720469916254, 5], [4, 0.40196031048934067, 5], [6, 0.5816292087662119, 5], [6, 0.6338341308567015, 5]], [[1, 0.7869275885106212, 4]], [[1, 0.7108447129861367, 5], [1, 0.7064029396537578, 5], [1, 0.6301212372740844, 5], [1, 0.5064052352292572, 5], [0, 0.0867409259191559, 5]], [[0, 0.8674663632213978, 5], [0, 0.9933945916214365, 5], [0, 0.5573697863784357, 6], [0, 0.674306393830544, 4], [0, 0.36226320349494967, 4], [0, 0.359021167760334, 3], [0, 0.5761823618009406, 4], [0, 0.45912060996904214, 4], [0, 0.8808488649827487, 5], [0, 0.24874754239661523, 6], [0, 0.7005854144781497, 5], [0, 0.6733887074393388, 3]], [[1, 0.5342551936563759, 4], [0, 0.2623476687368579, 4], [1, 1.0, 4], [0, 0.18438522843446636, 4], [0, 0.3254779892064683, 2]], [[1, 0.6697103237864942, 1]], [[4, 0.6956512807533917, 1]], [[2, 0.3037940148254329, 2], [0, 0.005980333365477319, 6], [8, 0.951233751942772, 6], [1, 0.16920556834425227, 7], [2, 0.3023747669773377, 5], [7, 0.8282846843693129, 5], [0, 0.0, 3], [4, 0.4417970056573115, 4], [4, 0.44396898483012937, 3], [4, 0.464629413663569, 3]], [[9, 0.9412731723208727, 3], [6, 0.620578455620029, 3], [5, 0.5437460224411755, 3], [7, 0.7218287191136141, 2], [7, 0.6999594450673587, 2], [6, 0.6333122808449737, 2], [9, 0.9495904739373036, 2], [1, 0.1342138946830248, 3], [7, 0.7243043393642882, 3], [1, 0.1648127332914714, 2], [0, 0.08084439392445131, 2]]]","popsize=3*ndims\nparams=Params(ilshade.memory(popsize))\noptimizer=create_optimizer(lpsr(pmin=4),update_strategy(Ignore,ensemble.choice([mutation.current_to_pbestw_1(params.static(1),p=0.1, include_archive=False),mutation.best_1(params.adaptative(param_strategy(0.9,jade.cauchy_get_strategy(0.2),jso.normal_repair_strategy(),nshade.normal_learning_strategy())), include_archive=True),mutation.best_1(params.static(1), include_archive=False)],params.adaptative(random.range(3,pmin=0.3,pmax=0.8,learnable=True))),crossover.exponential(params.static(1)),reparation.middle_from_parent(),booster.imode(0.961, 0.5, 0.55)),archive(round(popsize*7.7), allow_resizing=True),popsize,params)",2308.307650328875,335088.0564773083,15,1350,30
F10,"[[[0, 0.0604959670742945, 0]], [[3, 0.6723223649559094, 1]], [[0, 0.0584296275948013, 2]], [[1, 0.4571546203316851, 1]], [[0, 0.5673332265091094, 1]], [[1, 1.0, 2]], [[0, 0.06017209858764039, 2]], [[11, 0.944472919965066, 3], [8, 0.6606224739703965, 3], [0, 0.027811925848267527, 3]], [[2, 1.0, 2]], [[3, 0.5261380193655882, 3], [0, 0.09218257388289175, 3], [0, 0.0, 3]], [[1, 0.9577995631978475, 2]], [[2, 0.6257419329313457, 4]], [], [[0, 0.11091986823981437, 3], [0, 0.2850547509075062, 3]], [[0, 0.017472066323710234, 4], [1, 0.9410973298677335, 4], [1, 0.577815196354541, 4], [0, 0.02343203991459064, 4], [1, 0.7857250311334767, 4]], [[0, 0.30000526615157985, 5], [1, 0.830042976623266, 5], [1, 0.72148765937601, 5]], [[3, 0.6108178042103511, 5], [0, 0.08662436966204201, 5], [4, 0.7855643834581325, 5]], [[9, 0.8331956960297292, 5], [10, 0.9123067695290734, 5], [8, 0.7919721933620287, 5]], [[1, 0.7298411547545116, 4]], [[1, 0.5089751068460351, 5], [1, 0.7472552474868159, 5], [0, 0.4195631667051384, 5], [0, 0.23282925439761593, 5]], [[0, 0.8599962487773881, 2], [0, 0.9673839919510601, 4], [0, 0.927941962821038, 4], [0, 0.5182913083462128, 3], [0, 0.47152549092103857, 4], [0, 0.5017171591401534, 4], [0, 0.056280905547076765, 3], [0, 0.6994942910311103, 4], [0, 0.40182044920584925, 3]], [[0, 0.14224015612747598, 4], [1, 0.937210858561896, 2], [0, 0.1693812237279242, 4], [1, 0.7269302151687436, 4], [1, 0.6882736006262757, 2]], [[0, 0.0, 1]], [[6, 0.9789734466644158, 1]], [[8, 1.0, 3], [6, 0.7670888974307265, 3], [5, 0.5772195397950236, 5], [8, 0.9508188163534964, 5], [6, 0.6781310173801883, 3], [8, 1.0, 4], [5, 0.6343005966269707, 3], [8, 0.9376760272335365, 3], [1, 0.1721412108217144, 4], [6, 0.6729584374296592, 3], [1, 0.16930502810168546, 4], [3, 0.3548829086288665, 3]], [[1, 0.1459116595656474, 3], [1, 0.15937530178406745, 3], [5, 0.5066781119459324, 3], [0, 0.02456139525713974, 3], [8, 0.8433501240736423, 3], [4, 0.48694018497867375, 3], [5, 0.5990356777659256, 3]]]","popsize=25*round(np.log(ndims)*np.sqrt(ndims))\nparams=Params(ilshade.memory(9))\noptimizer=create_optimizer(lpsr(pmin=round(popsize*0.7)),update_strategy(Ignore,mutation.cma(),ensemble.choice([crossover.exponential(params.static(1)),crossover.all(),crossover.all()],params.adaptative(random.range(3,pmin=0.6,pmax=0.9,learnable=True))),reparation.clip(),booster.imode(0.117, 0.9, 0.56)),Ignore,popsize,params)",1.4759019842354835,361410.6109507084,15,1350,30
